ID,INV,DATE,CATALOG,PCODE,QTY,custnum
64,243374,4/98/21 00:00:00,Collectibles,CC3300,2,13
65,243374,4/98/21 00:00:00,Collectibles,CC3500,3,130
66,243374,4/98/21 00:00:00,Collectibles,CC3500,1,1300
67,243376,4/98/21 00:00:00,Pets,PT2300,2,1301
68,243376,4/98/21 00:00:00,Pets,PT3100,2,1302
69,243376,4/98/21 00:00:00,Pets,PT3200,1,1303
70,243376,4/98/21 00:00:00,Pets,PT3200,2,1304
71,190557,5/98/20 00:00:00,Toys,TY1300,1,1305
72,190557,5/98/20 00:00:00,Toys,TY2400,4,1306
73,190557,5/98/20 00:00:00,Toys,TY3300,1,1307
74,228620,10/98/29 00:00:00,Pets,PT2100,3,1308
75,228620,10/98/29 00:00:00,Pets,PT2200,1,1309
76,228620,10/98/29 00:00:00,Pets,PT3100,1,131
77,100376,4/00/24 00:00:00,Pets,PT2100,1,1310
78,142332,12/00/19 00:00:00,Toys,TY1100,2,1311
79,142332,12/00/19 00:00:00,Toys,TY3200,2,1312
80,142332,12/00/19 00:00:00,Toys,TY4200,1,1313
81,142332,12/00/19 00:00:00,Toys,TY5300,1,1314
82,99643,1/97/9 00:00:00,Gardening,GD3400,3,1315
83,106468,2/97/27 00:00:00,Collectibles,CC1200,1,1316
84,137742,8/97/18 00:00:00,Sports,SP3400,1,1317
85,155256,11/97/19 00:00:00,Pets,PT2200,3,1318
86,159666,12/97/12 00:00:00,Toys,TY3800,1,1319
87,163044,12/97/30 00:00:00,Pets,PT3200,2,132
88,184049,4/98/21 00:00:00,Pets,PT2000,1,1320
89,230510,11/98/6 00:00:00,Gardening,GD1400,1,1321
90,234466,11/98/23 00:00:00,Sports,SP1200,1,1322
91,234466,11/98/23 00:00:00,Sports,SP2000,1,1323
92,234466,11/98/23 00:00:00,Sports,SP2300,1,1324
93,234466,11/98/23 00:00:00,Sports,SP2700,2,1325
94,239179,12/98/13 00:00:00,Pets,PT2300,2,1326
95,155256,02/01/26 0:00:00,Pets,PT2200,3,1327
96,159666,03/01/21 0:00:00,Toys,TY3800,1,1328
97,163044,04/01/2008 0:00:00,Pets,PT3200,2,1329
98,106313,2/97/26 00:00:00,Sports,SP3100,1,133
99,108795,3/97/14 00:00:00,Software,SW2123,1,1330
100,135315,8/97/5 00:00:00,Collectibles,CC2200,1,1331
101,153919,11/97/12 00:00:00,Pets,PT4300,1,1332
102,165820,1/98/17 00:00:00,Sports,SP1500,1,1333
103,168450,2/98/2 00:00:00,Pets,PT2400,1,1334
104,175728,3/98/13 00:00:00,Sports,SP1300,4,1335
105,243349,3/98/28 00:00:00,Pets,PT3100,1,1336
106,184269,4/98/22 00:00:00,Gardening,GD1100,1,1337
107,191908,5/98/26 00:00:00,Software,SW5338,1,1338
108,195651,6/98/11 00:00:00,Gardening,GD1001,1,1339
109,207342,7/98/31 00:00:00,Toys,TY1900,2,134
110,207342,7/98/31 00:00:00,Toys,TY3100,1,1340
111,207342,7/98/31 00:00:00,Toys,TY3500,2,1341
112,217071,9/98/10 00:00:00,Collectibles,CC2400,4,1342
113,237054,12/98/4 00:00:00,Pets,PT4300,4,1343
114,106313,6/00/5 00:00:00,Sports,SP3100,1,1344
115,108795,6/00/21 00:00:00,Software,SW2123,1,1345
116,135315,11/00/12 00:00:00,Collectibles,CC2200,1,1346
117,153919,02/01/19 0:00:00,Pets,PT4300,1,1347
118,165820,04/01/26 0:00:00,Sports,SP1500,1,1348
119,168450,05/01/12 0:00:00,Pets,PT2400,1,1349
120,124051,6/97/7 00:00:00,Pets,PT1400,1,135
121,124051,6/97/7 00:00:00,Pets,PT2200,1,1350
122,124051,6/97/7 00:00:00,Pets,PT3100,1,1351
123,124814,6/97/11 00:00:00,Software,SW3895,3,1352
124,139856,8/97/29 00:00:00,Toys,TY4400,1,1353
125,183082,4/98/17 00:00:00,Sports,SP2700,1,1354
126,196370,6/98/14 00:00:00,Gardening,GD1500,1,1355
127,206396,7/98/27 00:00:00,Sports,SP2400,1,1356
128,220145,9/98/23 00:00:00,Pets,PT1200,1,1357
129,223035,10/98/5 00:00:00,Sports,SP2500,1,1358
130,229811,11/98/3 00:00:00,Pets,PT4200,1,1359
131,233331,11/98/18 00:00:00,Toys,TY1100,1,136
132,124051,9/00/14 00:00:00,Pets,PT1400,1,1360
133,124051,9/00/14 00:00:00,Pets,PT2200,1,1361
134,124051,9/00/14 00:00:00,Pets,PT3100,1,1362
135,124814,9/00/18 00:00:00,Software,SW3895,3,1363
136,139856,12/00/6 00:00:00,Toys,TY4400,1,1364
137,139658,8/97/28 00:00:00,Toys,TY1700,4,1365
138,173209,2/98/28 00:00:00,Sports,SP3400,1,1366
139,175132,3/98/10 00:00:00,Pets,PT3500,1,1367
140,189145,5/98/14 00:00:00,Gardening,GD1400,1,1368
141,194930,6/98/8 00:00:00,Toys,TY1750,1,1369
142,194930,6/98/8 00:00:00,Toys,TY1750,2,137
143,194930,6/98/8 00:00:00,Toys,TY3800,1,1370
144,194930,6/98/8 00:00:00,Toys,TY4100,2,1371
145,195397,6/98/10 00:00:00,Sports,SP2000,1,1372
146,195397,6/98/10 00:00:00,Sports,SP2000,4,1373
147,195397,6/98/10 00:00:00,Sports,SP2400,3,1374
148,202947,7/98/12 00:00:00,Pets,PT3100,1,1375
149,203167,7/98/13 00:00:00,Sports,SP3400,4,1376
150,234924,11/98/25 00:00:00,Software,SW8376,1,1377
151,139658,12/00/5 00:00:00,Toys,TY17OO,4,1378
152,121082,5/97/22 00:00:00,Sports,SP2400,1,1379
153,132255,7/97/20 00:00:00,Pets,PT3100,1,138
154,140829,9/97/3 00:00:00,Software,SW2123,1,1380
155,173210,2/98/28 00:00:00,Sports,SP2700,4,1381
156,192165,5/98/27 00:00:00,Software,SW7585,1,1382
157,197088,6/98/17 00:00:00,Gardening,GD2100,2,1383
158,207785,8/98/2 00:00:00,Sports,SP2400,1,1384
159,237791,12/98/7 00:00:00,Pets,PT1000,1,1385
160,237791,12/98/7 00:00:00,Pets,PT2400,1,1386
161,237791,12/98/7 00:00:00,Pets,PT3200,1,1387
162,237791,12/98/7 00:00:00,Pets,PT4200,1,1388
163,238016,12/98/8 00:00:00,Pets,PT2400,1,1389
164,238016,12/98/8 00:00:00,Pets,pt3500,1,139
165,238016,12/98/8 00:00:00,Pets,PT4300,3,1390
166,140829,12/00/11 00:00:00,Software,SW2123,1,1391
167,136667,8/97/12 00:00:00,Toys,TY2400,1,1392
168,136667,8/97/12 00:00:00,Toys,TY3700,1,1393
169,136667,8/97/12 00:00:00,Toys,TY4600,1,1394
170,136667,8/97/12 00:00:00,Toys,TY5100,4,1395
171,139067,8/97/25 00:00:00,Toys,TY5400,3,1396
172,141782,9/97/8 00:00:00,Collectibles,CC3400,2,1397
173,145415,9/97/27 00:00:00,Pets,PT2100,1,1398
174,146158,10/97/1 00:00:00,Pets,PT4500,1,1399
175,158712,12/97/7 00:00:00,Sports,SP2600,1,14
176,159270,12/97/10 00:00:00,Toys,TY5300,1,140
177,163238,12/97/31 00:00:00,Collectibles,CC4300,3,1400
178,172258,2/98/23 00:00:00,Toys,TY1600,1,1401
179,185573,4/98/28 00:00:00,Collectibles,CC3400,1,1402
180,186021,4/98/30 00:00:00,Toys,TY1300,1,1403
181,186021,4/98/30 00:00:00,Toys,TY1500,1,1404
182,186021,4/98/30 00:00:00,Toys,TY3500,1,1405
183,217533,9/98/12 00:00:00,Toys,TY4200,1,1406
184,220388,9/98/24 00:00:00,Software,SW1207,1,1407
185,234048,11/98/21 00:00:00,Sports,SP1600,1,1408
186,136667,11/00/19 00:00:00,Toys,TY2400,1,1409
187,136667,11/00/19 00:00:00,Toys,TY3700,1,141
188,136667,11/00/19 00:00:00,Toys,TY4600,1,1410
189,136667,11/00/19 00:00:00,Toys,TY5100,4,1411
190,139067,12/00/2 00:00:00,Toys,TY5400,3,1412
191,141782,12/00/16 00:00:00,Collectibles,CC3400,2,1413
192,145415,01/01/2004 0:00:00,Pets,PT2100,1,1414
193,146158,01/01/2008 0:00:00,Pets,PT4500,1,1415
194,158712,03/01/16 0:00:00,Sports,SP2600,1,1416
195,159270,03/01/19 0:00:00,Toys,TY5300,1,1417
196,163238,04/01/2009 0:00:00,Collectibles,CC4300,3,1418
197,99756,1/97/10 00:00:00,Pets,PT1100,3,1419
198,99756,1/97/10 00:00:00,Pets,PT3100,1,142
199,99756,1/97/10 00:00:00,Pets,PT3500,3,1420
200,130740,7/97/12 00:00:00,Software,SW1828,1,1421
201,134932,8/97/3 00:00:00,Gardening,GD3100,3,1422
202,141783,9/97/8 00:00:00,Sports,SP1000,1,1423
203,141783,9/97/8 00:00:00,Sports,SP1300,1,1424
204,141783,9/97/8 00:00:00,Sports,SP2300,4,1425
205,149271,10/97/18 00:00:00,Toys,TY3800,1,1426
206,152304,11/97/3 00:00:00,Toys,TY3700,1,1427
207,156806,11/97/27 00:00:00,Sports,SP2200,1,1428
208,161595,12/97/22 00:00:00,Software,SW7221,4,1429
209,212564,8/98/22 00:00:00,Sports,SP1100,4,143
210,212564,8/98/22 00:00:00,Sports,SP1300,1,1430
211,212564,8/98/22 00:00:00,Sports,SP3100,1,1431
212,212564,8/98/22 00:00:00,Sports,SP3300,3,1432
213,213061,8/98/24 00:00:00,Sports,SP1000,4,1433
214,213061,8/98/24 00:00:00,Sports,SP3100,1,1434
215,99756,4/00/19 00:00:00,Pets,PT1100,3,1435
216,99756,4/00/19 00:00:00,Pets,PT3100,1,1436
217,99756,4/00/19 00:00:00,Pets,PT3500,3,1437
218,130740,10/00/19 00:00:00,Software,SW1828,1,1438
219,134932,11/00/10 00:00:00,Gardening,gd3100,3,1439
220,141783,12/00/16 00:00:00,Sports,SP1000,1,144
221,141783,12/00/16 00:00:00,Sports,SP1300,1,1440
222,141783,12/00/16 00:00:00,Sports,SP2300,4,1441
223,149271,01/01/25 0:00:00,Toys,TY3800,1,1442
224,152304,02/01/10 0:00:00,Toys,TY3700,1,1443
225,156806,03/01/2006 0:00:00,Sports,SP2200,1,1444
226,161595,03/01/31 0:00:00,Software,SW7221,4,1445
227,126004,6/97/17 00:00:00,Toys,TY1950,1,1446
228,126004,6/97/17 00:00:00,Toys,TY4600,3,1447
229,126004,6/97/17 00:00:00,Toys,TY5300,1,1448
230,129631,7/97/6 00:00:00,Pets,PT4500,2,1449
231,142730,9/97/13 00:00:00,Gardening,GD2200,1,145
232,142730,9/97/13 00:00:00,Gardening,GD2400,1,1450
233,142730,9/97/13 00:00:00,Gardening,GD3200,1,1451
234,142730,9/97/13 00:00:00,Gardening,GD4100,1,1452
235,147805,10/97/10 00:00:00,Pets,PT3100,1,1453
236,147805,10/97/10 00:00:00,Pets,pt4100,1,1454
237,147805,10/97/10 00:00:00,Pets,PT4600,4,1455
238,147805,10/97/10 00:00:00,Pets,PT4600,1,1456
239,198963,6/98/25 00:00:00,Sports,SP2400,4,1457
240,229595,11/98/2 00:00:00,Pets,PT2100,1,1458
241,233338,11/98/18 00:00:00,Collectibles,CC4100,1,1459
242,237797,12/98/7 00:00:00,Pets,PT4100,2,146
243,126004,9/00/24 00:00:00,Toys,TY1950,1,1460
244,126004,9/00/24 00:00:00,Toys,TY4600,3,1461
245,126004,9/00/24 00:00:00,Toys,TY5300,1,1462
246,129631,10/00/13 00:00:00,Pets,PT4500,2,1463
247,147805,01/01/17 0:00:00,Pets,PT3100,1,1464
248,147805,01/01/17 0:00:00,Pets,PT4100,1,1465
249,147805,01/01/17 0:00:00,Pets,PT4600,4,1466
250,147805,01/01/17 0:00:00,Pets,PT4600,1,1467
251,116399,4/97/27 00:00:00,Gardening,GD3200,1,1468
252,152307,11/97/3 00:00:00,Toys,TY3400,4,1469
253,211399,8/98/17 00:00:00,Sports,SP2300,1,147
254,211635,8/98/18 00:00:00,Software,SW2181,4,1470
255,211635,8/98/18 00:00:00,Software,SW3545,1,1471
256,211635,8/98/18 00:00:00,Software,SW5952,4,1472
257,213064,8/98/24 00:00:00,Toys,TY2400,1,1473
258,231459,11/98/10 00:00:00,Sports,SP2600,1,1474
259,116399,8/00/4 00:00:00,Gardening,GD3200,1,1475
260,152307,02/01/10 0:00:00,Toys,TY3400,4,1476
261,113748,4/97/12 00:00:00,Pets,PT4300,1,1477
262,137757,8/97/18 00:00:00,Toys,TY4600,1,1478
263,147434,10/97/8 00:00:00,Pets,PT1400,4,1479
264,153927,11/97/12 00:00:00,Toys,TY4200,1,148
265,230993,11/98/8 00:00:00,Sports,SP1300,1,1480
266,230993,11/98/8 00:00:00,Sports,SP1400,3,1481
267,236105,11/98/30 00:00:00,Pets,PT1200,1,1482
268,241923,12/98/25 00:00:00,Software,SW7385,1,1483
269,113748,7/00/20 00:00:00,Pets,PT4300,1,1484
270,137757,11/00/25 00:00:00,Toys,TY4600,1,1485
271,147434,01/01/15 0:00:00,Pets,PT1400,4,1486
272,153927,02/01/19 0:00:00,Toys,TY4200,1,1487
273,105518,2/97/21 00:00:00,Pets,PT1300,4,1488
274,143136,9/97/15 00:00:00,Sports,SP1400,1,1489
275,143136,9/97/15 00:00:00,Sports,SP2500,2,149
276,143136,9/97/15 00:00:00,Sports,SP2600,3,1490
277,148359,10/97/13 00:00:00,Pets,PT2100,1,1491
278,150618,10/97/25 00:00:00,Gardening,GD1500,1,1492
279,150618,10/97/25 00:00:00,Gardening,GD3000,3,1493
280,150618,10/97/25 00:00:00,Gardening,GD3200,2,1494
281,168649,2/98/3 00:00:00,Gardening,GD1100,1,1495
282,187576,5/98/7 00:00:00,Toys,TY1200,3,1496
283,187576,5/98/7 00:00:00,Toys,TY1850,1,1497
284,187576,5/98/7 00:00:00,Toys,TY2300,4,1498
285,187576,5/98/7 00:00:00,Toys,TY3800,1,1499
286,209481,8/98/9 00:00:00,Pets,PT2200,1,15
287,209481,8/98/9 00:00:00,Pets,PT2300,1,150
288,209481,8/98/9 00:00:00,Pets,PT3200,1,1500
289,209481,8/98/9 00:00:00,Pets,PT3200,3,1501
290,218965,9/98/18 00:00:00,Gardening,GD2200,1,1502
291,223524,10/98/7 00:00:00,Gardening,GD4100,1,1503
292,225348,10/98/15 00:00:00,Toys,TY4200,1,1504
293,239627,12/98/15 00:00:00,Pets,PT4600,1,1505
294,105518,5/00/31 00:00:00,Pets,PT1300,4,1506
295,148359,01/01/20 0:00:00,Pets,PT2100,1,1507
296,110993,3/97/27 00:00:00,Sports,SP1200,1,1508
297,130222,7/97/9 00:00:00,Toys,TY4200,1,1509
298,158917,12/97/8 00:00:00,Collectibles,CC2200,3,151
299,163533,1/98/2 00:00:00,Sports,SP1000,1,1510
300,179408,3/98/31 00:00:00,Software,SW1005,3,1511
301,179408,3/98/31 00:00:00,Software,SW7013,1,1512
302,179408,3/98/31 00:00:00,Software,SW7573,1,1513
303,179408,3/98/31 00:00:00,Software,SW9604,1,1514
304,180934,4/98/7 00:00:00,Collectibles,CC1500,4,1515
305,182262,4/98/13 00:00:00,Gardening,GD1400,1,1516
306,198049,6/98/21 00:00:00,Sports,SP2000,3,1517
307,198049,6/98/21 00:00:00,Sports,SP2400,1,1518
308,198049,6/98/21 00:00:00,Sports,SP2500,1,1519
309,219453,9/98/20 00:00:00,Toys,TY17OO,1,152
310,230301,11/98/5 00:00:00,Toys,TY5200,1,1520
311,238030,12/98/8 00:00:00,Sports,SP2200,1,1521
312,241924,12/98/25 00:00:00,Sports,SP1300,2,1522
313,241924,12/98/25 00:00:00,Sports,SP3300,2,1523
314,241924,12/98/25 00:00:00,Sports,SP3400,1,1524
315,110993,7/00/4 00:00:00,Sports,SP1200,1,1525
316,130222,10/00/16 00:00:00,Toys,TY4200,1,1526
317,158917,03/01/17 0:00:00,Collectibles,CC220,3,1527
318,163533,04/01/11 0:00:00,Sports,SP1000,1,1528
319,122589,5/97/30 00:00:00,Pets,PT3100,3,1529
320,122777,5/97/31 00:00:00,Sports,SP1300,1,153
321,143138,9/97/15 00:00:00,Pets,PT4400,1,1530
322,166327,1/98/20 00:00:00,Pets,PT3200,2,1531
323,209214,8/98/8 00:00:00,Sports,SP3100,1,1532
324,221809,9/98/30 00:00:00,Toys,TY3400,1,1533
325,223296,10/98/6 00:00:00,Pets,PT3100,4,1534
326,122589,9/00/6 00:00:00,Pets,PT3100,3,1535
327,122777,9/00/7 00:00:00,Sports,SP1300,1,1536
328,143138,12/00/23 00:00:00,Pets,PT4400,1,1537
329,166327,04/01/29 0:00:00,Pets,PT3200,2,1538
330,102109,1/97/28 00:00:00,Pets,PT4300,1,1539
331,113750,4/97/12 00:00:00,Sports,SP2500,3,154
332,121462,5/97/24 00:00:00,Software,SW1207,1,1540
333,121462,5/97/24 00:00:00,Software,SW2147,1,1541
334,121462,5/97/24 00:00:00,Software,SW5493,1,1542
335,131671,7/97/17 00:00:00,Sports,SP1500,1,1543
336,131671,7/97/17 00:00:00,Sports,SP2000,2,1544
337,131671,7/97/17 00:00:00,Sports,SP2500,1,1545
338,131671,7/97/17 00:00:00,Sports,SP2700,1,1546
339,131869,7/97/18 00:00:00,Pets,PT4100,1,1547
340,132081,7/97/19 00:00:00,Gardening,GD2000,2,1548
341,132081,7/97/19 00:00:00,Gardening,GD2000,1,1549
342,132081,7/97/19 00:00:00,Gardening,GD3100,1,155
343,132081,7/97/19 00:00:00,Gardening,GD3400,2,1550
344,169362,2/98/7 00:00:00,Software,SW4187,1,1551
345,169362,2/98/7 00:00:00,Software,SW5952,4,1552
346,169362,2/98/7 00:00:00,Software,SW6269,1,1553
347,169362,2/98/7 00:00:00,Software,SW7935,1,1554
348,176756,3/98/18 00:00:00,Sports,SP2700,1,1555
349,177337,3/98/21 00:00:00,Sports,SP1000,1,1556
350,193092,5/98/31 00:00:00,Toys,TY3700,1,1557
351,197104,6/98/17 00:00:00,Pets,PT4200,1,1558
352,235407,11/98/27 00:00:00,Pets,PT3500,1,1559
353,102109,5/00/7 00:00:00,Pets,PT4300,1,156
354,121462,8/00/31 00:00:00,Software,SW1207,1,1560
355,121462,8/00/31 00:00:00,Software,SW2147,1,1561
356,121462,8/00/31 00:00:00,Software,SW5493,1,1562
357,131869,10/00/25 00:00:00,Pets,PT4100,1,1563
358,132081,10/00/26 00:00:00,Gardening,GD2000,2,1564
359,132081,10/00/26 00:00:00,Gardening,GD2000,1,1565
360,132081,10/00/26 00:00:00,Gardening,GD3100,1,1566
361,132081,10/00/26 00:00:00,Gardening,GD3400,2,1567
362,169362,05/01/17 0:00:00,Software,SW4187,1,1568
363,169362,05/01/17 0:00:00,Software,SW5952,4,1569
364,169362,05/01/17 0:00:00,Software,SW6269,1,157
365,169362,05/01/17 0:00:00,Software,SW7935,1,1570
366,99998,1/97/12 00:00:00,Toys,TY2600,1,1571
367,129834,7/97/7 00:00:00,Pets,PT1300,1,1572
368,129834,7/97/7 00:00:00,Pets,PT1400,4,1573
369,129834,7/97/7 00:00:00,Pets,PT2200,3,1574
370,130227,7/97/9 00:00:00,Pets,PT2400,1,1575
371,135894,8/97/8 00:00:00,Pets,PT4400,1,1576
372,148918,10/97/16 00:00:00,Sports,SP2600,2,1577
373,180063,4/98/3 00:00:00,Toys,TY3200,1,1578
374,182267,4/98/13 00:00:00,Gardening,GD4100,3,1579
375,184930,4/98/25 00:00:00,Toys,TY2500,4,158
376,197353,6/98/18 00:00:00,Pets,PT1100,1,1580
377,204316,7/98/18 00:00:00,Software,SW2147,3,1581
378,204316,7/98/18 00:00:00,Software,SW5338,1,1582
379,204316,7/98/18 00:00:00,Software,SW7385,1,1583
380,204316,7/98/18 00:00:00,Software,SW9521,3,1584
381,218730,9/98/17 00:00:00,Pets,PT1000,1,1585
382,218730,9/98/17 00:00:00,Pets,PT1400,1,1586
383,218730,9/98/17 00:00:00,Pets,PT2400,4,1587
384,218730,9/98/17 00:00:00,Pets,PT3300,1,1588
385,237332,12/98/5 00:00:00,Software,SW6352,1,1589
386,237332,12/98/5 00:00:00,Software,SW6531,4,159
387,237332,12/98/5 00:00:00,Software,SW7823,1,1590
388,99998,4/00/21 00:00:00,Toys,TY2600,1,1591
389,129834,10/00/14 00:00:00,Pets,PT1300,1,1592
390,129834,10/00/14 00:00:00,Pets,PT1400,4,1593
391,129834,10/00/14 00:00:00,Pets,PT2200,3,1594
392,130227,10/00/16 00:00:00,Pets,PT2400,1,1595
393,135894,11/00/15 00:00:00,Pets,PT4400,1,1596
394,148918,01/01/23 0:00:00,Sports,SP2600,2,1597
395,115478,4/97/22 00:00:00,Sports,SP1200,1,1598
396,159478,12/97/11 00:00:00,Sports,SP2300,1,1599
397,167813,1/98/29 00:00:00,Software,SW4792,2,16
398,187346,5/98/6 00:00:00,Sports,SP2700,1,160
399,197108,6/98/17 00:00:00,Sports,SP1500,1,1600
400,203183,7/98/13 00:00:00,Pets,PT1200,4,1601
401,203183,7/98/13 00:00:00,Pets,PT3200,1,1602
402,203183,7/98/13 00:00:00,Pets,PT4400,1,1603
403,203183,7/98/13 00:00:00,Pets,PT4600,1,1604
404,216861,9/98/9 00:00:00,Pets,PT2000,1,1605
405,216861,9/98/9 00:00:00,Pets,PT2400,4,1606
406,216861,9/98/9 00:00:00,Pets,PT3300,1,1607
407,234271,11/98/22 00:00:00,Software,SW4773,1,1608
408,242593,12/98/28 00:00:00,Toys,TY1200,1,1609
409,115478,7/00/30 00:00:00,Sports,SP1200,1,161
410,159478,03/01/20 0:00:00,Sports,SP2300,1,1610
411,167813,05/01/2008 0:00:00,Software,SW4792,0,1611
412,105195,2/97/19 00:00:00,Pets,PT4300,2,1612
413,126013,6/97/17 00:00:00,Sports,SP3300,1,1613
414,129637,7/97/6 00:00:00,Sports,SP1000,4,1614
415,129637,7/97/6 00:00:00,Sports,SP1300,1,1615
416,129637,7/97/6 00:00:00,Sports,SP2000,4,1616
417,129637,7/97/6 00:00:00,Sports,SP3400,3,1617
418,130398,7/97/10 00:00:00,Collectibles,CC4200,1,1618
419,143734,9/97/18 00:00:00,Pets,PT4200,1,1619
420,146746,10/97/4 00:00:00,Pets,PT4500,1,162
421,183350,4/98/18 00:00:00,Gardening,GD1400,1,1620
422,183350,4/98/18 00:00:00,Gardening,GD1500,1,1621
423,183350,4/98/18 00:00:00,Gardening,GD2100,3,1622
424,183350,4/98/18 00:00:00,Gardening,GD3400,1,1623
425,184734,4/98/24 00:00:00,Pets,PT4400,1,1624
426,186491,5/98/2 00:00:00,Pets,PT2200,1,1625
427,196610,6/98/15 00:00:00,Sports,SP2000,1,1626
428,196610,6/98/15 00:00:00,Sports,SP2300,3,1627
429,196610,6/98/15 00:00:00,Sports,SP3100,3,1628
430,203861,7/98/16 00:00:00,Toys,TY1750,1,1629
431,205481,7/98/23 00:00:00,Sports,sp2000,1,163
432,105195,5/00/29 00:00:00,Pets,PT4300,2,1630
433,126013,9/00/24 00:00:00,Sports,SP3300,1,1631
434,129637,10/00/13 00:00:00,Sports,SP1000,4,1632
435,129637,10/00/13 00:00:00,Sports,SP1300,1,1633
436,129637,10/00/13 00:00:00,Sports,SP2000,4,1634
437,129637,10/00/13 00:00:00,Sports,SP3400,3,1635
438,130398,10/00/17 00:00:00,Collectibles,CC4200,1,1636
439,143734,12/00/26 00:00:00,Pets,PT4200,1,1637
440,146746,01/01/11 0:00:00,Pets,PT4500,1,1638
441,100784,1/97/18 00:00:00,Sports,SP2700,1,1639
442,113757,4/97/12 00:00:00,Toys,TY1950,3,164
443,124646,6/97/10 00:00:00,Sports,SP3400,1,1640
444,124829,6/97/11 00:00:00,Gardening,GD2200,1,1641
445,135138,8/97/4 00:00:00,Gardening,GD1500,1,1642
446,150217,10/97/23 00:00:00,Pets,PT3300,2,1643
447,150217,10/97/23 00:00:00,Pets,PT3500,2,1644
448,150217,10/97/23 00:00:00,Pets,PT4100,1,1645
449,150217,10/97/23 00:00:00,Pets,PT4400,3,1646
